"annotation_id"	"annotator"	"choice"	"created_at"	"id"	"image"	"lead_time"	"updated_at"
46	"1"	"{""choices"":[""꼬마 공주"",""여기사""]}"	"2024-04-10T13:01:24.570757Z"	31832	"/data/local-files/?d=pixiv%5C100000661%5C100000661_p0.png"	8.983	"2024-04-10T13:01:24.570757Z"
47	"1"	"{""choices"":[""꼬마 공주"",""여기사""]}"	"2024-04-10T13:01:26.608967Z"	31833	"/data/local-files/?d=pixiv%5C100000661%5C100000661_p1.png"	1.803	"2024-04-10T13:01:26.608967Z"
48	"1"	"{""choices"":[""꼬마 공주"",""여기사""]}"	"2024-04-10T13:01:28.807831Z"	31834	"/data/local-files/?d=pixiv%5C100002935%5C100002935_p0.jpg"	1.976	"2024-04-10T13:01:28.807831Z"
49	"1"	"{""choices"":[""꼬마 공주"",""여기사""]}"	"2024-04-10T13:01:30.889495Z"	31835	"/data/local-files/?d=pixiv%5C100002935%5C100002935_p1.jpg"	1.768	"2024-04-10T13:01:30.889495Z"
55	"1"	"루피나"	"2024-04-10T13:01:48.341541Z"	31841	"/data/local-files/?d=pixiv%5C100216906%5C100216906_p3.png"	7.063	"2024-04-10T13:01:48.341541Z"
57	"1"	"꼬마 공주"	"2024-04-10T13:01:56.822579Z"	31843	"/data/local-files/?d=pixiv%5C100300623%5C100300623_p1.png"	4.201	"2024-04-10T13:01:56.822579Z"
61	"1"	"꼬마 공주"	"2024-04-10T13:02:11.515164Z"	31846	"/data/local-files/?d=pixiv%5C100405277%5C100405277_p0.jpg"	5.7780000000000005	"2024-04-10T13:02:11.515164Z"
65	"1"	"꼬마 공주"	"2024-04-10T13:02:18.903811Z"	31850	"/data/local-files/?d=pixiv%5C100657378%5C100657378_p0.jpg"	1.794	"2024-04-10T13:02:18.903811Z"
66	"1"	"꼬마 공주"	"2024-04-10T13:02:20.520387Z"	31851	"/data/local-files/?d=pixiv%5C100657378%5C100657378_p1.jpg"	1.338	"2024-04-10T13:02:20.520387Z"
68	"1"	"로레인"	"2024-04-10T13:02:30.679705Z"	31853	"/data/local-files/?d=pixiv%5C100679398%5C100679398_p1.png"	4.035	"2024-04-10T13:02:30.679705Z"
73	"1"	"로레인"	"2024-04-10T13:02:38.458111Z"	31858	"/data/local-files/?d=pixiv%5C100981632%5C100981632_p0.png"	2.556	"2024-04-10T13:02:38.458111Z"
